index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,c***钟,看了评论买的，价格便宜，用着不油腻，味道也很清新，抹上一会就吸收了。,2021-05-08 09:38:04,Null,Null,Null,True,1131555593967,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
2,浪***浪,整体评价：非常不错,2021-05-14 14:35:42,Null,Null,Null,True,1132357937435,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
3,考***教,此用户没有填写评论!,2021-03-03 15:59:59,香味太浓了，用着感觉一般,2021-05-11 19:28:30,69,True,1124354175076,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
4,红***4,选择这个产品是因为以前买了他家的海藻面膜送了一瓶玫瑰纯露，因为是送的所以怕不好一直丢在一边没用，前几天因为皮肤过敏用了很多产品皮肤都很刺痛痒，无意间就拿送的玫瑰纯露试了一下，天呐，竟然很舒服很清爽，于是又拍了他家的乳用了也很舒服，这几天皮肤好了很多，痘痘也焉了，真的是无心插柳柳成荫，以后全部换成他的的产品了。,2021-03-30 13:35:51,Null,Null,Null,True,1127081878015,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
5,茉***9,快递挺快，包装正规，用了一下有淡淡清香味道，不油腻吸收好，买了一回水这回又买一瓶乳，都有淡淡的香味，还会光顾的,2021-04-15 13:47:06,Null,Null,Null,True,1128694649850,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
6,q***1,容量很足，也不油腻好吸收,2021-04-22 19:01:55,Null,Null,Null,True,1130066926735,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
7,只***5,补水方面还是很OK的,2021-04-23 20:01:47,Null,Null,Null,True,1129319672320,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
8,伊***护,给女朋友买的  过敏了，不敢用了,2021-05-05 07:26:47,Null,Null,Null,True,1131971123618,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
9,古***易,肖战粉底小飞侠经过,2021-04-25 13:48:30,Null,Null,Null,True,1129960461479,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
10,t***4,已经购了几次了，产品很好用。,2021-04-24 08:25:04,Null,Null,Null,True,1129788337855,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
