index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,梅***打,可以 这款产品价格也是一直在降，比前几年的双十一还便宜，这款搭配a醇确实好用，也不刺激,2021-05-09 23:46:24,Null,Null,Null,True,1132649267970,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
2,金***兴,用过30ml的觉得还不错，100ml买一送一很划算啊,2021-05-14 13:14:02,Null,Null,Null,True,1131899640670,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
3,邢***3,之前连续爆痘，留下好多痘印，期待效果,2021-05-11 17:06:20,Null,Null,Null,True,1131558508895,True,精华,化妆品净含量:75ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
4,端***y,第二次回购了，很喜欢用olay小白瓶，真的会肉眼可见地变白,2021-05-08 20:58:38,Null,Null,Null,True,1132098638067,True,精华,化妆品净含量:75ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
5,p***i,吸收快，不刺激！,2021-05-11 15:42:12,Null,Null,Null,True,1132854455024,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
6,陌***夏,第n瓶小白瓶，搭配烟酰胺会变白哦。不过，长毛也是真的。,2021-05-10 18:51:19,Null,Null,Null,True,1132342302438,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
7,徐***s,用了几天好像美白效果不错，用完再看。,2021-05-13 11:33:55,Null,Null,Null,True,1131759556050,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
8,绛***灼,质地不错 期待效果,2021-05-10 11:05:03,Null,Null,Null,True,1132275026234,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
9,苏***点,晚上跟身体乳拌着用，大瓶的量超级够！,2021-05-10 15:41:08,Null,Null,Null,True,1132725639433,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
10,5***海,满意的一次购物，下次有机会还会回购🍵,2021-05-10 15:31:57,Null,Null,Null,True,1131862521667,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
11,q***2,刚开始使用，效果后续在进行更新,2021-05-11 11:31:29,Null,Null,Null,True,1132819927914,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
12,吴***仙,回购的第二瓶，真的好用，还送了蛮多礼品,2021-05-12 14:41:24,Null,Null,Null,True,1132558098533,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
13,阿***0,去黄去暗沉效果很好，左边是旗舰店买的，右边是这个，旗舰店改版了，这个很划算。,2021-04-29 18:50:46,Null,Null,Null,True,1130489761983,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
14,典***子,价格实惠，是官方正品，值得购买。,2021-05-04 13:04:28,Null,Null,Null,True,1131888823805,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
15,j***4,用了几天了 似乎是有提亮肤色 也可能是心理作用 不过肤感蛮好的 质地是那种乳液一样的延展性很强,2021-05-14 11:57:53,Null,Null,Null,True,1132336037100,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
16,y***5,好用，好吸收,2021-05-03 18:58:07,Null,Null,Null,True,1130958305114,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
17,t***1,正在使用中,2021-05-06 15:44:00,Null,Null,Null,True,1131793746423,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
18,t***5,感觉挺好用的 大家可以购买，我也没有泛红,2021-05-09 19:14:40,Null,Null,Null,True,1132624163140,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
19,w***2,送了好多小礼品，洗衣液，洗手液，牙膏，面膜，精华小样等等等，很多很多,2021-04-27 09:57:07,Null,Null,Null,True,1131031915871,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
20,王***飞,100毫升装的相当于买一赠一，而且还是两个正装，简直是赚到了！,2021-05-12 21:13:55,Null,Null,Null,True,1133019795607,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
21,莫***6,肤感还不错，用完看看效果,2021-04-28 11:24:19,Null,Null,Null,True,1129876168460,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
22,e***1,店家不仅赠了试用装 还赠了很多其他的小样 就很奶思,2021-04-28 11:54:00,Null,Null,Null,True,1131171667974,False,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
23,小***丶,宝洁老大就是不一样啊，便宜这么多，还送赠品，还有会员十件小赠品，真香！！,2021-05-03 21:23:14,Null,Null,Null,True,1130530540840,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
24,t***2,挺好用的，卖家也非常诚信，说没有礼品送，果然什么赠品都没有，哈哈哈我白叫他们宝洁大大,2021-05-06 09:21:59,Null,Null,Null,True,1130843172179,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
