index,用户昵称,初评,初评日期,评价,追评,追评日期,追评天数,是否有用,赞,Rateid,用户等级,产品,类别,标题,平台,商品链接
1,z***蕊,绝对大牌正品太好了 还赠送了小礼物哦 ,2021年05月09日 21:06,1,,Null,Null,0,1,1131773737681,red_2,面膜,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
2,路***5,一共十片，本人干皮，燕窝面膜非常补水，性价比很高还送了个小发箍很可爱 ,2021年05月13日 08:57,1,,Null,Null,0,1,1131736912976,blue_1,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
3,曦***x,第二次买JM面膜啦  物流很快 没货了店主也会迅速补货捏 面膜用了很保湿也美白（图上这种面膜） 价格也实惠 正品正品ˏ₍&bull;ɞ&bull;₎ˎ ,2021年05月11日 13:01,1,,Null,Null,0,1,1132831207380,red_4,面膜,颜色分类:黄安瓶维他命面膜（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
4,t***5, 我买的宝贝收到了，打开一看很喜欢，做工精细，没有色差，店家包装精致，快递员淋着大雨给送过来的，很有责任心，绝对给个五星好评！ ,2021年05月06日 11:33,1,,Null,Null,0,1,1132164491764,red_3,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
5,杨***5,jm面膜用了2年了，第一次在淘宝买，用着正品，感觉不错，会常买！还送了小礼物❤️ ,2021年05月04日 21:54,1,,Null,Null,0,1,1131954491982,blue_1,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
6,t***8,效果没得说  很奈斯  补水效果绝了 ,2021年05月10日 13:02,1,,Null,Null,0,1,1132702523143,red_2,面膜,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
7,t***3,很便宜，试试效果,2021年05月07日 20:27,1,,Null,Null,0,1,1131071712747,red_4,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
8,c***z,趁着五一的折买的，五月四号下的单八号到货 打折后便宜好多，还送了一个迷你护手霜 应该是正品吧 挺喜欢这个牌子的面膜 很喜欢用这款深水炸弹 深水炸弹这种急救补水的用的比较多 自己皮肤不是油皮 经常会干 缺水这两款不会太润太油腻 补水效果也很不错 恰到好处 用完皮肤缺水的情况会改善不少 挺满意的～～～下次会回购～～  ,2021年05月08日 17:52,1,,Null,Null,0,1,1131184680680,red_3,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
9,g***1,深水炸弹这款补水超级好  一直在用这款  第一次在他家买  和外面实体店比也太便宜了吧  查了正品  以后一直在你家买喽🥰 ,2021年05月11日 18:01,1,,Null,Null,0,1,1132010785325,blue_3,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
10,月***9,整体评价：面膜精华挺多！上脸服帖！水润度很好！ 我的肤质：混油皮 ,2021年05月02日 11:12,1,,Null,Null,0,1,1130341052582,blue_3,面膜,颜色分类:白色[婴儿美白10片/盒],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
