index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,胡***纤,清爽不油腻✈✈吸收快✈夏天也要用霜✈保护肌肤锁水保湿少不了✈使用感觉很水润✈比较舒适✈也不油腻✈赠送的礼品也比较多✈看后续持续使用效果✈✈喜欢的姐妹们可以考虑入手✈✈用了这个一点不都干✈非常湿润也不油腻✈✈平时很少化妆✈总觉得脸蛋部位干燥T字区油腻的很✈很难受✈✈✈朋友推荐的这款✈用了真不错✈,2021-05-11 17:51:25,Null,Null,Null,True,1132461006569,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
2,c***o,小茂老师🐡推荐的科颜氏新品清🐡爽面霜很适合🐡油性皮肤使用，夏天用🐡起来也很清爽，不油腻，清爽保湿上脸真的完全🐡清爽不油腻，而且保湿效果一如既🐡往的好，是那种啫喱感的 🐡很清爽 吸收效果：特别快🐡 不油腻 。小样分了🐡一瓶给老妈，白🐡天用也很不错，会回购,2021-05-07 21:53:04,Null,Null,Null,True,1131524401444,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
3,j***9,只是我没在家🎃由别人代收🎃现在我亲自打开🎃内外包装都完好无损🎃这款粉底液也很好用🎃是我常用的🎃滋养遮瑕控油效果都非常好🎃喜欢的姐妹们可以考虑入手🎃用了这个一点不都干🎃非常湿润也不油腻🎃平时很少化妆🎃总觉得脸蛋部位干燥T字区油腻的很🎃很难受🎃朋友推荐的这款🎃用了真不错🎃~🎃,2021-05-07 23:28:45,Null,Null,Null,True,1131982666295,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
4,翩***猪,混油肌挚爱🐣清爽不油腻🐣吸收快🐣夏天也要用霜🐣保护肌肤锁水保湿少不了🐣使用感觉很水润 比较舒适🐣也不油腻🐣赠送的礼品也比较多🐣看后续持续使用效果🐣果冻果真不错🐣半透明啫喱质地🐣水水润润的超好吸收🐣保湿控油效果非常好,2021-05-01 15:58:17,Null,Null,Null,True,1131154534464,True,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
5,莜***紫,非常好用！☁☁☁上脸真的完全清爽不油腻，而且保湿效果一如既往的好，摸起来软*.(@软的，可以改善红血丝，☁☁☁用了之后效果很好跟痘痘说拜拜，☁☁☁拯救闭口粉刺，舒缓补水效果很好，控油效果也很不错我之前就喜欢科颜氏的高保湿，水水的一抹即化☁☁☁,2021-04-29 15:52:21,Null,Null,Null,True,1130025692848,True,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
6,陈***敏,东西跟杭州银泰买的一个味道 确定是正品 夏天用清爽补水这款 一如既往好用,2021-05-09 11:56:20,Null,Null,Null,True,1131258908414,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
7,讷***c,保湿控油效果：不油腻 我的肤质：夏天会出油  吸收效果：很好吸收,2021-05-11 11:51:03,Null,Null,Null,True,1132822271956,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
8,小***儿,整体评价：换了包装，感觉以前的有质感一点，有一点酒精味，胜在清爽 保湿控油效果：好，很清爽 质地手感：果冻一样 我的肤质：油皮,2021-05-13 11:35:09,Null,Null,Null,True,1132207225343,False,面霜,化妆品净含量:125ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
9,吴***n,清爽不油腻吸👑收快夏天也要用霜👑保护肌肤锁水保湿少不👑了使用感觉很水润 👑比较舒适也不油腻赠送👑的礼品也比较多吸收快夏👑天也要用霜保护肌肤👑锁水保湿少不了使用感觉👑很水润比较舒适也不油👑腻整体评价：夏天👑来啦 这个果冻面霜炒👑鸡清爽 又保湿 保湿控油👑效果：保湿效果一级棒👑,2021-05-07 01:04:12,Null,Null,Null,True,1131853038123,False,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
10,一***头,果冻一样的面霜，质地比较滋润凉凉的，补水效果不错。,2021-05-13 18:18:54,Null,Null,Null,True,1131814736643,True,面霜,化妆品净含量:50ml,【520礼物】新品尝鲜 科颜氏果冻清爽高保湿霜 补水控油不粘腻,tmall,https://detail.tmall.com/item.htm?id=638478429776&ns=1&abbucket=6
